CpG,gene,region,feature
cg00016255,AARSD1,promoter,AARSD1__promoter
cg00016324,ARHGAP15,body,ARHGAP15__body
cg00016360,DNAH11,promoter,DNAH11__promoter
cg00016481,ZFHX4,body,ZFHX4__body
cg00016593,SLFNL1,body,SLFNL1__body
cg00016718,MUT,body,MUT__body
cg00016783,KIDINS220,body,KIDINS220__body
cg00016814,CNTNAP2,body,CNTNAP2__body
cg00016841,SLC5A2,body,SLC5A2__body
cg00017002,PGBD1,promoter,PGBD1__promoter
cg00017059,SRBD1,body,SRBD1__body
cg00017121,THRA,body,THRA__body
cg00017188,WIPF2,promoter,WIPF2__promoter
cg00017271,BIRC5,body,BIRC5__body
cg00017441,MAST3,body,MAST3__body
cg00017461,OSM,promoter,OSM__promoter
cg00017475,ABO,body,ABO__body
cg00017489,DPP6,promoter,DPP6__promoter
cg00017546,MED18,body,MED18__body
cg00017639,SLC28A1,body,SLC28A1__body
cg00017931,ZDHHC14,body,ZDHHC14__body
cg00017970,GRRP1,promoter,GRRP1__promoter
cg00018010,CYTSB,body,CYTSB__body
cg00018024,NKX6-2,promoter,NKX6-2__promoter
cg00018128,TBR1,body,TBR1__body
cg00018181,SH2B2,body,SH2B2__body
cg00018229,TTC13,promoter,TTC13__promoter
cg00018524,SEPT10,promoter,SEPT10__promoter
cg00018539,IQCE,body,IQCE__body
cg00018557,HEXIM2,promoter,HEXIM2__promoter
cg00018606,CRYGD,promoter,CRYGD__promoter
cg00018696,CSMD1,body,CSMD1__body
cg00018739,ZNF664,promoter,ZNF664__promoter
cg00018896,PABPC3,promoter,PABPC3__promoter
cg00019082,SLC6A1,promoter,SLC6A1__promoter
cg00019093,UBL3,promoter,UBL3__promoter
cg00019118,GALNT9,promoter,GALNT9__promoter
cg00019301,NUDT6,promoter,NUDT6__promoter
cg00019377,SPTBN4,promoter,SPTBN4__promoter
cg00019458,PER3,body,PER3__body
cg00019463,RNF111,promoter,RNF111__promoter
cg00019678,C12orf34,promoter,C12orf34__promoter
cg00019809,RPRD1A,promoter,RPRD1A__promoter
cg00019838,A2BP1,promoter,A2BP1__promoter
cg00019841,MAPK4,body,MAPK4__body
cg00019877,LOC169834,promoter,LOC169834__promoter
cg00019997,NRCAM,promoter,NRCAM__promoter
cg00020052,CNRIP1,promoter,CNRIP1__promoter
cg00020175,LARP6,body,LARP6__body
cg00020191,SYT1,promoter,SYT1__promoter
cg00020348,OR6V1,promoter,OR6V1__promoter
cg00020390,TRIM56,promoter,TRIM56__promoter
cg00020405,SFRS12,promoter,SFRS12__promoter
cg00020720,SPATA1,promoter,SPATA1__promoter
cg00020794,FAM38A,body,FAM38A__body
cg00020799,PLXNC1,body,PLXNC1__body
cg00020991,CBR4,body,CBR4__body
cg00021028,RRP1,promoter,RRP1__promoter
cg00021030,FLOT2,promoter,FLOT2__promoter
cg00021108,RIN3,promoter,RIN3__promoter
cg00021152,PNMA2,promoter,PNMA2__promoter
cg00021166,PPFIBP1,promoter,PPFIBP1__promoter
cg00021237,MYBL1,promoter,MYBL1__promoter
cg00021256,FEV,body,FEV__body
cg00021476,KIAA0182,promoter,KIAA0182__promoter
cg00021527,TAF15,promoter,TAF15__promoter
cg00021539,TMEM217,promoter,TMEM217__promoter
cg00021540,SCARNA16,promoter,SCARNA16__promoter
cg00021600,NECAB2,body,NECAB2__body
cg00021783,UBR1,promoter,UBR1__promoter
cg00021855,PYCRL,body,PYCRL__body
cg00021944,GBF1,promoter,GBF1__promoter
cg00021945,ZNF613,promoter,ZNF613__promoter
cg00022024,CAMSAP1,promoter,CAMSAP1__promoter
cg00022101,DOCK1,body,DOCK1__body
cg00022138,SFRS6,promoter,SFRS6__promoter
cg00022259,GOLGA3,body,GOLGA3__body
cg00022308,CCDC121,promoter,CCDC121__promoter
cg00022594,AKAP8L,body,AKAP8L__body
cg00022633,CDK8,promoter,CDK8__promoter
cg00022866,CCDC88B,body,CCDC88B__body
cg00022871,CRHR1,body,CRHR1__body
cg00023024,HTR1D,promoter,HTR1D__promoter
cg00023132,ARL6IP5,promoter,ARL6IP5__promoter
cg00023154,RNF220,promoter,RNF220__promoter
cg00023168,ZNF226,promoter,ZNF226__promoter
cg00023174,ZNF788,promoter,ZNF788__promoter
cg00023185,LOC401463,promoter,LOC401463__promoter
cg00023288,LRPPRC,promoter,LRPPRC__promoter
cg00023321,BAT1,promoter,BAT1__promoter
cg00023464,CARKD,promoter,CARKD__promoter
cg00023695,COX5A,promoter,COX5A__promoter
cg00023702,HIPK1,promoter,HIPK1__promoter
cg00023808,SH2B2,body,SH2B2__body
cg00024396,ELOVL5,promoter,ELOVL5__promoter
cg00024404,SERINC5,promoter,SERINC5__promoter
cg00024812,ITGB1BP1,promoter,ITGB1BP1__promoter
cg00024967,MECOM,body,MECOM__body
cg00025138,MAP3K9,promoter,MAP3K9__promoter
cg00025211,NUDT17,body,NUDT17__body
cg00025331,ZEB2,body,ZEB2__body
cg00025347,SLC20A2,promoter,SLC20A2__promoter
cg00025357,PADI3,body,PADI3__body
cg00025436,COQ10A,promoter,COQ10A__promoter
cg00025496,ABR,promoter,ABR__promoter
cg00025591,S100B,promoter,S100B__promoter
cg00025663,NOL10,body,NOL10__body
cg00025715,ZSCAN18,body,ZSCAN18__body
cg00025795,TBC1D16,body,TBC1D16__body
cg00025823,CRHR1,body,CRHR1__body
cg00025981,C13orf15,promoter,C13orf15__promoter
cg00025991,DIP2C,promoter,DIP2C__promoter
cg00026030,SYNJ1,promoter,SYNJ1__promoter
cg00026119,DNAH10,body,DNAH10__body
cg00026230,ALDOA,promoter,ALDOA__promoter
cg00026290,CLNK,promoter,CLNK__promoter
cg00026362,LOC100132354,promoter,LOC100132354__promoter
cg00026374,TEAD3,promoter,TEAD3__promoter
cg00026375,HLA-L,body,HLA-L__body
cg00026412,ANK3,body,ANK3__body
cg00026457,NR5A2,body,NR5A2__body
cg00026474,ST3GAL1,promoter,ST3GAL1__promoter
cg00026546,HPCA,body,HPCA__body
cg00026553,ZNF710,promoter,ZNF710__promoter
cg00026703,NR2F2,body,NR2F2__body
cg00026803,KCNJ9,body,KCNJ9__body
cg00026853,NCRNA00095,body,NCRNA00095__body
cg00026857,NCAPD2,body,NCAPD2__body
cg00026909,DAB1,promoter,DAB1__promoter
cg00026974,UBTF,promoter,UBTF__promoter
cg00027081,TSSC1,body,TSSC1__body
cg00027083,EPB41L3,promoter,EPB41L3__promoter
cg00027466,VHLL,promoter,VHLL__promoter
cg00027570,CD2,body,CD2__body
cg00027637,ITPKB,body,ITPKB__body
cg00027650,TCF12,promoter,TCF12__promoter
cg00027669,STAC2,promoter,STAC2__promoter
cg00027674,RAB38,promoter,RAB38__promoter
cg00027729,ITGAM,body,ITGAM__body
cg00028013,LOXL1,promoter,LOXL1__promoter
cg00028034,TSPYL3,promoter,TSPYL3__promoter
cg00028056,CHPF,body,CHPF__body
cg00028135,ZBTB20,promoter,ZBTB20__promoter
cg00028251,FAM184A,promoter,FAM184A__promoter
cg00028338,WHSC1,body,WHSC1__body
cg00028455,NCOA7,promoter,NCOA7__promoter
cg00028487,ZNF808,promoter,ZNF808__promoter
cg00028598,GABRA5,body,GABRA5__body
cg00028636,PTMS,body,PTMS__body
cg00028678,ARHGEF4,promoter,ARHGEF4__promoter
cg00028749,BIVM,promoter,BIVM__promoter
cg00028757,EHMT2,body,EHMT2__body
cg00028829,GOT2,promoter,GOT2__promoter
cg00028844,MATN4,promoter,MATN4__promoter
cg00028935,ZIC4,body,ZIC4__body
cg00029161,HIP1,body,HIP1__body
cg00029233,HEXIM1,promoter,HEXIM1__promoter
cg00029246,DGKI,body,DGKI__body
cg00029284,CUX2,body,CUX2__body
cg00029397,DCTN2,promoter,DCTN2__promoter
cg00029521,KCNK17,body,KCNK17__body
cg00029640,USF2,body,USF2__body
cg00029678,RNF213,body,RNF213__body
cg00029822,PTPN9,promoter,PTPN9__promoter
cg00029831,VPS28,promoter,VPS28__promoter
cg00029973,TRPV1,promoter,TRPV1__promoter
cg00030047,RNF207,body,RNF207__body
cg00030291,ICA1,promoter,ICA1__promoter
cg00030296,SEPT9,promoter,SEPT9__promoter
cg00030420,SLC25A2,promoter,SLC25A2__promoter
cg00030422,DLEC1,promoter,DLEC1__promoter
cg00030432,MEPCE,promoter,MEPCE__promoter
cg00030508,TRIM15,body,TRIM15__body
cg00030523,RMST,promoter,RMST__promoter
cg00030682,ABCC1,body,ABCC1__body
cg00030774,FAM189A1,body,FAM189A1__body
cg00030807,ARHGEF10,promoter,ARHGEF10__promoter
cg00030816,RBM8A,promoter,RBM8A__promoter
cg00030909,IGF2BP1,body,IGF2BP1__body
cg00031013,KDM6B,promoter,KDM6B__promoter
cg00031063,MFAP2,body,MFAP2__body
cg00031105,RXRB,body,RXRB__body
cg00031162,TNFSF12,body,TNFSF12__body
cg00031256,SERPINB1,promoter,SERPINB1__promoter
cg00031340,GCSH,promoter,GCSH__promoter
cg00031346,FRMD1,body,FRMD1__body
cg00031402,PSAP,promoter,PSAP__promoter
cg00031456,PRPF38B,promoter,PRPF38B__promoter
cg00031476,BRE,promoter,BRE__promoter
cg00031491,SLC44A4,body,SLC44A4__body
cg00031663,ATG4D,promoter,ATG4D__promoter
cg00031708,FAM126A,promoter,FAM126A__promoter
cg00031779,ALPK2,promoter,ALPK2__promoter
cg00031896,KDM2B,promoter,KDM2B__promoter
cg00032192,SNORD41,promoter,SNORD41__promoter
cg00032227,TMEM104,promoter,TMEM104__promoter
cg00032366,LONP1,body,LONP1__body
cg00032609,ATP5E,body,ATP5E__body
cg00032643,LRRC47,body,LRRC47__body
cg00032664,SNX4,body,SNX4__body
cg00032756,NELL2,body,NELL2__body
cg00032789,USP4,promoter,USP4__promoter
cg00032805,MARCH1,promoter,MARCH1__promoter
cg00032852,CHCHD3,promoter,CHCHD3__promoter
cg00032879,MORN1,body,MORN1__body
cg00033155,NPHP1,body,NPHP1__body
cg00033220,TGIF1,promoter,TGIF1__promoter
cg00033304,SENP2,promoter,SENP2__promoter
cg00033334,SETD8,body,SETD8__body
cg00033371,UHRF1,body,UHRF1__body
cg00033457,TCEB1,promoter,TCEB1__promoter
cg00033490,CROT,body,CROT__body
cg00033533,KIAA1539,promoter,KIAA1539__promoter
cg00033551,MGRN1,body,MGRN1__body
cg00033668,EPS8,promoter,EPS8__promoter
cg00033773,MORG1,promoter,MORG1__promoter
cg00033806,TSNARE1,body,TSNARE1__body
cg00033834,KNDC1,body,KNDC1__body
cg00033877,ATP11A,body,ATP11A__body
cg00033909,PER4,body,PER4__body
cg00034019,TAF8,promoter,TAF8__promoter
cg00034039,C9orf85,promoter,C9orf85__promoter
cg00034076,RALYL,promoter,RALYL__promoter
cg00034130,RHOG,promoter,RHOG__promoter
cg00034154,S1PR2,promoter,S1PR2__promoter
cg00034376,UGP2,promoter,UGP2__promoter
cg00034416,FDPS,promoter,FDPS__promoter
cg00034555,SAMD1,promoter,SAMD1__promoter
cg00034574,ZBTB46,body,ZBTB46__body
cg00034604,RGS20,body,RGS20__body
cg00034611,C16orf81,body,C16orf81__body
cg00034769,C14orf64,promoter,C14orf64__promoter
cg00035000,RUNX3,body,RUNX3__body
cg00035220,PTPRN2,body,PTPRN2__body
cg00035237,PUM1,promoter,PUM1__promoter
cg00035249,ARF1,promoter,ARF1__promoter
cg00035268,C6orf124,body,C6orf124__body
cg00035316,HOXD8,promoter,HOXD8__promoter
cg00035347,NT5C2,promoter,NT5C2__promoter
cg00035453,ARID2,promoter,ARID2__promoter
cg00035623,UBE2S,promoter,UBE2S__promoter
cg00035630,DEPDC7,promoter,DEPDC7__promoter
cg00035673,DAXX,body,DAXX__body
cg00035812,ABI2,body,ABI2__body
cg00035847,MECR,promoter,MECR__promoter
cg00035889,KLF3,body,KLF3__body
cg00035923,C7orf50,body,C7orf50__body
cg00035937,KRIT1,promoter,KRIT1__promoter
cg00035945,PARM1,body,PARM1__body
cg00036011,HIST1H3G,promoter,HIST1H3G__promoter
cg00036119,A2BP1,body,A2BP1__body
cg00036137,GALP,promoter,GALP__promoter
cg00036258,ADCY9,body,ADCY9__body
cg00036328,ARL6IP4,body,ARL6IP4__body
cg00036386,MOGS,body,MOGS__body
cg00036440,NAT15,promoter,NAT15__promoter
cg00036588,SLA2,promoter,SLA2__promoter
cg00036599,C1orf54,body,C1orf54__body
cg00036723,CCL1,body,CCL1__body
cg00036871,OBSL1,promoter,OBSL1__promoter
cg00037058,RBM45,promoter,RBM45__promoter
cg00037186,RRAD,promoter,RRAD__promoter
cg00037314,LPHN1,body,LPHN1__body
cg00037400,CPNE7,body,CPNE7__body
cg00037441,RFX6,promoter,RFX6__promoter
cg00037450,PWP2,promoter,PWP2__promoter
cg00037681,FAM113B,promoter,FAM113B__promoter
cg00037763,SETBP1,body,SETBP1__body
cg00037940,PIK3CB,promoter,PIK3CB__promoter
cg00037952,C10orf26,promoter,C10orf26__promoter
cg00038167,PNPLA6,promoter,PNPLA6__promoter
cg00038239,TMEM101,body,TMEM101__body
cg00038298,CCDC36,promoter,CCDC36__promoter
cg00038342,PXDN,body,PXDN__body
cg00038436,TFAP4,promoter,TFAP4__promoter
cg00038584,INSL3,promoter,INSL3__promoter
cg00038736,GGN,body,GGN__body
cg00038857,CCL8,promoter,CCL8__promoter
cg00038877,CABC1,body,CABC1__body
cg00039016,FBXO31,body,FBXO31__body
cg00039070,EXOC4,body,EXOC4__body
cg00039176,PCDHGA4,promoter,PCDHGA4__promoter
cg00039177,CUTA,promoter,CUTA__promoter
cg00039326,TRAPPC3,promoter,TRAPPC3__promoter
cg00039441,HOXD13,promoter,HOXD13__promoter
cg00039463,CREBBP,promoter,CREBBP__promoter
cg00039478,ABCA3,body,ABCA3__body
cg00039480,SLC47A2,promoter,SLC47A2__promoter
cg00039564,TAX1BP1,promoter,TAX1BP1__promoter
cg00039793,SFXN4,promoter,SFXN4__promoter
cg00039794,CCDC138,promoter,CCDC138__promoter
cg00039864,COL23A1,body,COL23A1__body
cg00040007,DLL4,body,DLL4__body
cg00040008,KLHL2,promoter,KLHL2__promoter
cg00040027,SLC25A12,body,SLC25A12__body
cg00040047,TANK,promoter,TANK__promoter
cg00040312,HOXC4,promoter,HOXC4__promoter
cg00040380,RPS27,promoter,RPS27__promoter
cg00040426,LCN1,promoter,LCN1__promoter
cg00040427,PODNL1,body,PODNL1__body
cg00040446,MYCL1,promoter,MYCL1__promoter
cg00040466,SMOC2,body,SMOC2__body
cg00040566,EBF3,body,EBF3__body
cg00040588,MXRA8,body,MXRA8__body
cg00040708,CDH29,promoter,CDH29__promoter
cg00040861,LSM7,promoter,LSM7__promoter
cg00040862,TPO,promoter,TPO__promoter
cg00040873,NDUFB10,promoter,NDUFB10__promoter
cg00040945,C15orf40,promoter,C15orf40__promoter
cg00041014,KTI12,promoter,KTI12__promoter
cg00041047,SLC6A16,promoter,SLC6A16__promoter
cg00041328,C17orf85,promoter,C17orf85__promoter
cg00041368,DLGAP1,promoter,DLGAP1__promoter
cg00041401,PTPN22,promoter,PTPN22__promoter
cg00041575,C11orf21,promoter,C11orf21__promoter
cg00041599,UNC5A,body,UNC5A__body
cg00041666,SYNE1,body,SYNE1__body
cg00041759,KLC2,promoter,KLC2__promoter
cg00041898,TSNARE1,body,TSNARE1__body
cg00041901,CD164,promoter,CD164__promoter
cg00042059,EML6,body,EML6__body
cg00042081,RSPO3,body,RSPO3__body
cg00042156,LOC84856,promoter,LOC84856__promoter
cg00042186,KCNK12,body,KCNK12__body
cg00042208,BOD1,promoter,BOD1__promoter
cg00042325,LOC728743,body,LOC728743__body
cg00042356,PARK7,promoter,PARK7__promoter
cg00042409,CCDC52,promoter,CCDC52__promoter
cg00042568,NR2C2,promoter,NR2C2__promoter
cg00042683,SHF,body,SHF__body
cg00042837,LASP1,body,LASP1__body
cg00042874,PLEKHH3,promoter,PLEKHH3__promoter
cg00042882,AP1S1,promoter,AP1S1__promoter
cg00042914,C18orf16,promoter,C18orf16__promoter
cg00043004,NOXO1,body,NOXO1__body
cg00043005,DOT1L,body,DOT1L__body
cg00043043,PEX1,body,PEX1__body
cg00043080,PLD3,promoter,PLD3__promoter
cg00043095,SGPP2,promoter,SGPP2__promoter
cg00043371,COG1,promoter,COG1__promoter
cg00043379,FGF3,promoter,FGF3__promoter
cg00043524,WDR27,body,WDR27__body
cg00043564,EMID2,promoter,EMID2__promoter
cg00043599,BTBD19,body,BTBD19__body
cg00043788,VSX1,promoter,VSX1__promoter
cg00043800,LOC100189589,promoter,LOC100189589__promoter
cg00044097,FHL2,promoter,FHL2__promoter
cg00044170,FOXM1,promoter,FOXM1__promoter
cg00044245,EPHA7,body,EPHA7__body
cg00044289,POP5,promoter,POP5__promoter
cg00044299,KCTD1,promoter,KCTD1__promoter
cg00044318,WTIP,body,WTIP__body
cg00044354,MIER1,promoter,MIER1__promoter
cg00044372,KIAA0513,promoter,KIAA0513__promoter
cg00044463,GLT25D2,promoter,GLT25D2__promoter
cg00044665,CDH5,promoter,CDH5__promoter
cg00044729,ENTHD1,promoter,ENTHD1__promoter
cg00044950,EHMT2,body,EHMT2__body
cg00044995,C2CD4C,promoter,C2CD4C__promoter
cg00045061,NSMAF,body,NSMAF__body
cg00045118,RUNX1T1,promoter,RUNX1T1__promoter
cg00045303,SETD4,promoter,SETD4__promoter
cg00045439,AIMP1,promoter,AIMP1__promoter
cg00045515,RBL1,body,RBL1__body
cg00045607,ARHGAP30,promoter,ARHGAP30__promoter
cg00045690,PSMB9,body,PSMB9__body
cg00045753,PHF19,body,PHF19__body
cg00045762,ODZ2,body,ODZ2__body
cg00045787,SNTB2,body,SNTB2__body
cg00045902,PWWP2B,body,PWWP2B__body
cg00046018,PPP1R12B,promoter,PPP1R12B__promoter
cg00046026,COL20A1,body,COL20A1__body
cg00046041,SLC7A5P2,body,SLC7A5P2__body
cg00046105,C1orf57,body,C1orf57__body
cg00046499,GPR149,body,GPR149__body
